Index,Time,Wind Value(mph),Temp(°F),,,,,,Start time ,end time ,Max wind Speed 
183, 11:03:44,13.4,66.5,,,,,,,,
184, 11:03:45,12,66.5,,,,,,,,
185, 11:03:46,10.5,66.7,,,,,,,,
186, 11:03:47,12.5,66.7,,,,,,,,
187, 11:03:48,12.5,66.7,,,,,,,,
188, 11:03:49,12.9,66.7,,,,,,,,
189, 11:03:50,12.7,66.5,,,,,,,,
190, 11:03:51,12.7,66.5,,,,,,,,
191, 11:03:52,12.3,66.5,,,,,,,,
192, 11:03:53,12,66.5,,,,,,,,
193, 11:03:54,11.6,66.5,,,,,,,,
194, 11:03:55,11.2,66.5,,,,,,,,
195, 11:03:56,11.4,66.5,,,,,,,,
196, 11:03:57,12.3,66.5,,,,,,,,
197, 11:03:58,12.7,66.5,,,,,,,,
198, 11:03:59,12.7,66.5,,,,,,,,
199, 11:04:00,12.7,66.5,,,,,,,,
200, 11:04:01,12,66.5,,,,,,,,
201, 11:04:02,12,66.5,,,,,,,,
202, 11:04:03,10.7,66.5,,,,,,,,
203, 11:04:04,6.9,66.5,,,,,,,,
204, 11:04:05,4.2,66.5,,,,,,,,
205, 11:04:06,3.1,67.1,,,,,,,,
206, 11:04:07,2.4,67.1,,,,,,,,
207, 11:04:08,2,67.4,,,,,,,,
208, 11:04:09,1.3,67.4,,,,,,,,
209, 11:04:10,0.6,67.4,,,,,,,,
210, 11:04:11,0.6,67.4,,,,,,,,
211, 11:04:12,0.2,67.6,,,,,,,,
212, 11:04:13,0.4,67.6,,,,,,,,
213, 11:04:14,0.4,67.8,,,,,,,,
214, 11:04:15,0,67.8,,,,,,,,
215, 11:04:16,0,67.8,,,,,,,,
216, 11:04:17,0.4,67.8,,,,,,,,
217, 11:04:18,0.2,67.8,,,,,,,,
218, 11:04:19,0.6,67.8,,,,,,,,
219, 11:04:20,0.8,67.8,,,,,,,,
220, 11:04:21,1.1,67.8,,,,,,,,
221, 11:04:22,0.4,68,,,,,,,,
222, 11:04:23,0,68,,,,,,,,
223, 11:04:24,0,67.8,,,,,,,,
224, 11:04:25,4.2,67.8,,,,,,,,
225, 11:04:26,12,67.4,,,,,,,,
226, 11:04:27,11.8,67.4,,,,,,,,
227, 11:04:28,12.5,66.9,,,,,,,,
228, 11:04:29,12.7,66.9,,,,,,,,
229, 11:04:30,12,66.5,,,,,,,,
230, 11:04:31,12,66.5,,,,,,,,
231, 11:04:32,13.2,66.3,,,,,,,,
232, 11:04:33,13.4,66.3,,,,,,,,
233, 11:04:34,13.8,66.3,,,,,,,,
234, 11:04:35,12.9,66.3,,,,,,,,
235, 11:04:36,12.3,66.2,,,,,,,,
236, 11:04:37,13.2,66.2,,,,,,,,
237, 11:04:38,14.1,66.2,,,,,,,,
238, 11:04:39,13.4,66.2,,,,,,,,
239, 11:04:40,12,66.2,,,,,,,,
240, 11:04:41,12.7,66.2,,,,,,,,
241, 11:04:42,13.2,66,,,,,,,,
242, 11:04:43,14.1,66,,,,,,,,
243, 11:04:44,14.1,65.8,,,,,,,,
244, 11:04:45,13.6,65.8,,,,,,,,
245, 11:04:46,13.6,65.8,,,,,,,,
246, 11:04:47,14.1,65.8,,,,,,,,
247, 11:04:48,13.2,65.8,,,,,,,,
248, 11:04:49,14.5,65.8,,,,,,,,
249, 11:04:50,16.1,65.8,,,,,,,,
250, 11:04:51,15,65.8,,,,,,,,
251, 11:04:52,14.5,65.8,,,,,,,,
252, 11:04:53,14.3,65.8,,,,,,,,
253, 11:04:54,12.5,65.8,,,,,,,,
254, 11:04:55,11.4,65.8,,,,,,,,
255, 11:04:56,11.6,66,,,,,,,,
256, 11:04:57,11.4,66,,,,,,,,
257, 11:04:58,12,66,,,,,,,,
258, 11:04:59,10.7,66,,,,,,,,
259, 11:05:00,9.1,66.2,,,,,,,,
260, 11:05:01,9.8,66.2,,,,,,,,
261, 11:05:02,10.3,66.2,,,,,,,,
262, 11:05:03,5.6,66.2,,,,,,,,
263, 11:05:04,3.1,66.3,,,,,,,,
264, 11:05:05,1.5,66.3,,,,,,,,
265, 11:05:06,7.1,66.3,,,,,,,,
266, 11:05:07,11.4,66.3,,,,,,,,
267, 11:05:08,7.8,66.3,,,,,,,,
268, 11:05:09,8.9,66.3,,,,,,,,
269, 11:05:10,9.8,66.3,,,,,,,,
270, 11:05:11,10.9,66.3,,,,,,,,
271, 11:05:12,14.1,66.2,,,,,,,,
272, 11:05:13,14.1,66.2,,,,,,,,
273, 11:05:14,13.6,66,,,,,,,,
274, 11:05:15,12.9,66,,,,,,,,
275, 11:05:16,12.5,66,,,,,,,,
276, 11:05:17,12.7,66,,,,,,,,
277, 11:05:18,9.8,66.2,,,,,,,,
278, 11:05:19,7.6,66.2,,,,,,,,
279, 11:05:20,4.9,66.3,,,,,,,,
280, 11:05:21,8,66.3,,,,,,,,
281, 11:05:22,8,66.3,,,,,,,,
282, 11:05:23,4.2,66.3,,,,,,,,
283, 11:05:24,3.1,66.3,,,,,,,,
284, 11:05:25,4.4,66.3,,,,,,,,
285, 11:05:26,8.9,66.3,,,,,,,,
286, 11:05:27,12.7,66.3,,,,,,,,
287, 11:05:28,11.8,66.2,,,,,,,,
288, 11:05:29,10,66.2,,,,,,,,
289, 11:05:30,10.9,66,,,,,,,,
290, 11:05:31,12.9,66,,,,,,,,
291, 11:05:32,11.6,66,,,,,,,,
292, 11:05:33,13.2,66,,,,,,,,
293, 11:05:34,12.7,65.8,,,,,,,,
294, 11:05:35,11.8,65.8,,,,,,,,
295, 11:05:36,11.8,65.8,,,,,,,,
296, 11:05:37,11.4,65.8,,,,,,,,
297, 11:05:38,10.9,65.8,,,,,,,,
298, 11:05:39,11.2,65.8,,,,,,,,
299, 11:05:40,11.6,65.8,,,,,,,,
300, 11:05:41,11.8,65.8,,,,,,,,
301, 11:05:42,11.6,65.8,,,,,,,,
302, 11:05:43,10.9,65.8,,,,,,,,
303, 11:05:44,11.2,65.8,,,,,,,,
304, 11:05:45,11.2,65.8,,,,,,,,
305, 11:05:46,11.6,65.8,,,,,,,,
306, 11:05:47,11.4,65.8,,,,,,,,
307, 11:05:48,11.2,65.8,,,,,,,,
308, 11:05:49,8.5,65.8,,,,,,,,
309, 11:05:51,3.8,66,,,,,,,,
310, 11:05:52,3.3,66.3,,,,,,,,
311, 11:05:53,3.3,66.3,,,,,,,,
312, 11:05:54,2.9,66.3,,,,,,,,
313, 11:05:55,2.4,66.3,,,,,,,,
314, 11:05:56,2,66.5,,,,,,,,
315, 11:05:57,1.5,66.5,,,,,,,,
316, 11:05:58,1.7,66.5,,,,,,,,
317, 11:05:59,1.7,66.5,,,,,,,,
318, 11:06:00,1.3,66.7,,,,,,,,
319, 11:06:01,1.1,66.7,,,,,,,,
320, 11:06:02,1.1,66.7,,,,,,,,
321, 11:06:03,0.8,66.7,,,,,,,,
322, 11:06:04,0.2,66.9,,,,,,,,
323, 11:06:05,0,66.9,,,,,,,,
324, 11:06:06,0,66.9,,,,,,,,
325, 11:06:07,0.2,66.9,,,,,,,,
326, 11:06:08,0.4,66.9,,,,,,,,
327, 11:06:09,0,66.9,,,,,,,,
328, 11:06:13,0.2,67.1,,,,,,,,
329, 11:06:18,0.2,67.1,,,,,,,,
330, 11:06:25,1.3,67.1,,,,,,,,
331, 11:06:26,1.3,67.1,,,,,,,,
332, 11:06:27,1.1,67.1,,,,,,,,
333, 11:06:28,0.8,67.1,,,,,,,,
334, 11:06:29,0.2,67.1,,,,,,,,
335, 11:06:30,0.6,66.9,,,,,,,,
336, 11:06:31,0.6,66.9,,,,,,,,
337, 11:06:32,0.6,66.9,,,,,,,,
338, 11:06:33,0.4,66.9,,,,,,,,
339, 11:06:34,0,67.1,,,,,,,,
340, 11:06:35,0.2,67.1,,,,,,,,
341, 11:06:36,0.2,67.1,,,,,,,,
342, 11:06:37,0.2,67.1,,,,,,,,
343, 11:06:38,0,67.1,,,,,,,,
344, 11:06:39,0,67.1,,,,,,,,
345, 11:06:40,0,67.1,,,,,,,,
346, 11:06:41,0,67.1,,,,,,,,
347, 11:06:42,0,67.1,,,,,,,,
348, 11:06:43,0,67.1,,,,,,,,
349, 11:06:44,0,67.2,,,,,,,,
350, 11:06:45,0.2,67.2,,,,,,,,
351, 11:06:46,0.2,67.2,,,,,,,,
352, 11:06:47,0,67.2,,,,,,,,
353, 11:06:48,0,67.2,,,,,,,,
354, 11:06:49,0.2,67.2,,,,,,,,
355, 11:06:50,0.2,67.2,,,,,,,,
356, 11:06:51,0,67.2,,,,,,,,
357, 11:06:52,0.2,67.2,,,,,,,,
358, 11:06:53,0.8,67.2,,,,,,,,
359, 11:06:54,0.4,67.2,,,,,,,,
360, 11:06:55,0.8,67.2,,,,,,,,
361, 11:06:56,0.6,67.2,,,,,,,,
362, 11:06:57,0.2,67.2,,,,,,,,
363, 11:06:58,0.4,67.2,,,,,,,,
364, 11:06:59,0.2,67.2,,,,,,,,
365, 11:07:00,0.2,67.2,,,,,,,,
366, 11:07:01,0.6,67.2,,,,,,,,
367, 11:07:02,0.2,67.2,,,,,,,,
368, 11:07:03,0.2,67.2,,,,,,,,
369, 11:07:04,0,67.4,,,,,,,,
370, 11:07:05,0,67.4,,,,,,,,
371, 11:07:06,0.2,67.4,,,,,,,,
372, 11:07:07,0.2,67.4,,,,,,,,
373, 11:07:08,0.2,67.4,,,,,,,,
374, 11:07:09,0,67.4,,,,,,,,
375, 11:07:10,0,67.4,,,,,,,,
376, 11:07:11,0.2,67.4,,,,,,,,
377, 11:07:12,0.2,67.4,,,,,,,,
378, 11:07:13,0,67.4,,,,,,,,
379, 11:07:14,0.2,67.4,,,,,,,,
380, 11:07:15,0,67.4,,,,,,,,
381, 11:07:16,0,67.4,,,,,,,,
382, 11:07:17,0.4,67.4,,,,,,,,
383, 11:07:18,1.1,67.2,,,,,,,,
384, 11:07:19,1.1,67.2,,,,,,,,
385, 11:07:20,0.8,67.2,,,,,,,,
386, 11:07:21,0.8,67.2,,,,,,,,
387, 11:07:22,0.2,67.4,,,,,,,,
388, 11:07:23,0,67.4,,,,,,,,
389, 11:07:24,0,67.4,,,,,,,,
390, 11:07:25,0,67.4,,,,,,,,
391, 11:07:26,0,67.4,,,,,,,,
392, 11:07:27,0,67.4,,,,,,,,
393, 11:07:28,0,67.4,,,,,,,,
394, 11:07:29,0,67.4,,,,,,,,
395, 11:07:30,0,67.4,,,,,,,,
396, 11:07:31,0,67.4,,,,,,,,
